"","Title","Authors","Source Title","Publication Year","Total Citations"
"151","Convective Heat Transfer in Rooms with Ceiling Slot Diffusers (RP-1416)","Novoselac;Goldstein","HVAC&R RESEARCH",2010,17
"152","Cooking, Bleach Cleaning, and Air Conditioning Strongly Impact Levels of HONO in a House","Novoselac;Farmer;Abbatt;Vance;Stevens","ENVIRONMENTAL SCIENCE & TECHNOLOGY",2020,4
"153","Home chemical and microbial transitions across urbanization","Novoselac;Ruiz","NATURE MICROBIOLOGY",2020,23
"154","Indoor emissions of total and fluorescent supermicron particles during HOMEChem","Novoselac;Goldstein;Farmer;Vance;Nazaroff","INDOOR AIR",2021,5
"155","Internal convective heat transfer modeling: Critical review and discussion of experimentally derived correlations","Novoselac;Morrison","ENERGY AND BUILDINGS",2011,52
"156","Observations and Contributions of Real-Time Indoor Ammonia Concentrations during HOMEChem","Novoselac;Goldstein;Waring","ENVIRONMENTAL SCIENCE & TECHNOLOGY",2019,20
"157","Occupational Exposure to Hazardous Airborne Pollutants: Effects of Air Mixing and Source Location","Novoselac;Rim","JOURNAL OF OCCUPATIONAL AND ENVIRONMENTAL HYGIENE",2010,29
"158","Overview of HOMEChem: House Observations of Microbial and Environmental Chemistry","Novoselac;Goldstein;Farmer;Abbatt;Ruiz;Vance;Stevens;O'Brien;Kahan;Grassian;Nazaroff","ENVIRONMENTAL SCIENCE-PROCESSES & IMPACTS",2019,61
"159","Passive reduction of human exposure to indoor ozone","Novoselac;Morrison","BUILDING AND ENVIRONMENT",2010,45
"160","Spatial and temporal scales of variability for indoor air constituents","Novoselac;Young;Farmer;Rim;Abbatt;Shiraiwa;Carslaw;Stevens;Kahan","COMMUNICATIONS CHEMISTRY",2021,0
"161","Surface reservoirs dominate dynamic gas-surface partitioning of many indoor air constituents","Novoselac;Goldstein;Farmer;Abbatt;Vance;Nazaroff","SCIENCE ADVANCES",2020,36
"162","The influence of chemical interactions at the human surface on breathing zone levels of reactants and products","Novoselac;Rim;Morrison","INDOOR AIR",2009,44
"163","Transport of particulate and gaseous pollutants in the vicinity of a human body","Novoselac;Rim","BUILDING AND ENVIRONMENT",2009,103
"164","Ventilation effectiveness as an indicator of occupant exposure to particles from indoor sources","Novoselac;Rim","BUILDING AND ENVIRONMENT",2010,39
"165","Volatile organic compound emissions during HOMEChem","Novoselac;Goldstein;Farmer;Vance;Nazaroff","INDOOR AIR",2021,0
"166","Walls talk: Microbial biogeography of homes spanning urbanization","Novoselac;Ruiz","SCIENCE ADVANCES",2016,38
"167","Ammonium Addition (and Aerosol pH) Has a Dramatic Impact on the Volatility and Yield of Glyoxal Secondary Organic Aerosol","Turpin;McNeill","ENVIRONMENTAL SCIENCE & TECHNOLOGY",2014,42
"168","Development of a hydrophilic interaction liquid chromatography (HILIC) method for the chemical characterization of water-soluble isoprene epoxydiol (IEPOX)-derived secondary organic aerosol","Turpin;Ault","ENVIRONMENTAL SCIENCE-PROCESSES & IMPACTS",2018,43
"169","Dynamics of Residential Water-Soluble Organic Gases: Insights into Sources and Sinks","Turpin;Morrison","ENVIRONMENTAL SCIENCE & TECHNOLOGY",2019,17
"170","Heterogeneous Hydroxyl Radical Oxidation of Isoprene-Epoxydiol-Derived Methyltetrol Sulfates: Plausible Formation Mechanisms of Previously Unexplained Organosulfates in Ambient Fine Aerosols","Turpin;Ault","ENVIRONMENTAL SCIENCE & TECHNOLOGY LETTERS",2020,11
"171","Increasing Isoprene Epoxydiol-to-Inorganic Sulfate Aerosol Ratio Results in Extensive Conversion of Inorganic Sulfate to Organosulfur Forms: Implications for Aerosol Physicochemical Properties","Turpin;Goldstein;Ault","ENVIRONMENTAL SCIENCE & TECHNOLOGY",2019,58
"172","Influence of human activity patterns, particle composition, and residential air exchange rates on modeled distributions of PM2.5 exposure compared with central-site monitoring data","Turpin;Morrison","JOURNAL OF EXPOSURE SCIENCE AND ENVIRONMENTAL EPIDEMIOLOGY",2013,40
"173","Joint Impacts of Acidity and Viscosity on the Formation of Secondary Organic Aerosol from Isoprene Epoxydiols (IEPDX) in Phase Separated Particles","Turpin;Ault;Kroll","ACS EARTH AND SPACE CHEMISTRY",2019,26
"174","Organosulfates from Dark Aqueous Reactions of Isoprene-Derived Epoxydiols Under Cloud and Fog Conditions: Kinetics, Mechanism, and Effect of Reaction Environment on Regioselectivity of Sulfate Addition","Turpin;McNeill","ACS EARTH AND SPACE CHEMISTRY",2021,1
"175","PFOS dominates PFAS composition in ambient fine particulate matter (PM2.5) collected across North Carolina nearly 20 years after the end of its US production","Turpin;Vance","ENVIRONMENTAL SCIENCE-PROCESSES & IMPACTS",2021,0
"176","Photochemical organonitrate formation in wet aerosols","Turpin;Young","ATMOSPHERIC CHEMISTRY AND PHYSICS",2016,8
"177","Refined ambient PM2.5 exposure surrogates and the risk of myocardial infarction","Turpin;Morrison","JOURNAL OF EXPOSURE SCIENCE AND ENVIRONMENTAL EPIDEMIOLOGY",2013,27
"178","SYNTHESIS OF THE SOUTHEAST ATMOSPHERE STUDIES: Investigating Fundamental Atmospheric Chemistry Questions","Turpin;Goldstein;Farmer;de Gouw;Wennberg","BULLETIN OF THE AMERICAN METEOROLOGICAL SOCIETY",2018,38
"179","The Triggering of Myocardial Infarction by Fine Particles Is Enhanced When Particles Are Enriched in Secondary Species","Turpin;Morrison","ENVIRONMENTAL SCIENCE & TECHNOLOGY",2013,35
"180","Volatility of methylglyoxal cloud SOA formed through OH radical oxidation and droplet evaporation","Turpin;McNeill","ATMOSPHERIC ENVIRONMENT",2016,16
"181","A large and ubiquitous source of atmospheric formic acid","Williams;Farmer;de Gouw","ATMOSPHERIC CHEMISTRY AND PHYSICS",2015,113
"182","A Technique for Rapid Gas Chromatography Analysis Applied to Ambient Organic Aerosol Measurements from the Thermal Desorption Aerosol Gas Chromatograph (TAG)","Williams;Goldstein","AEROSOL SCIENCE AND TECHNOLOGY",2014,11
"183","A technique for rapid source apportionment applied to ambient organic aerosol measurements from a thermal desorption aerosol gas chromatograph (TAG)","Williams;Goldstein","ATMOSPHERIC MEASUREMENT TECHNIQUES",2016,7
"184","Analysis of indoor particles and gases and their evolution with natural ventilation","Williams;Morrison","INDOOR AIR",2019,10
"185","Continuous measurement of reactive oxygen species inside and outside of a residential house during summer","Williams;Morrison","INDOOR AIR",2021,1
"186","Development of a new consumable-free thermal modulator for comprehensive two-dimensional gas chromatography","Williams;Goldstein","JOURNAL OF CHROMATOGRAPHY A",2011,23
"187","Evaluating Indoor Air Chemical Diversity, Indoor-to-Outdoor Emissions, and Surface Reservoirs Using High-Resolution Mass Spectrometry","Williams;Morrison","ENVIRONMENTAL SCIENCE & TECHNOLOGY",2021,0
"188","In situ measurements of gas/particle-phase transitions for atmospheric semivolatile organic compounds","Williams;Goldstein","PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA",2010,54
"189","Major components of atmospheric organic aerosol in southern California as determined by hourly measurements of source marker compounds","Williams;Goldstein","ATMOSPHERIC CHEMISTRY AND PHYSICS",2010,81
"190","Nitrate radicals and biogenic volatile organic compounds: oxidation, mechanisms, and organic aerosol","Williams;Shiraiwa","ATMOSPHERIC CHEMISTRY AND PHYSICS",2017,179
"191","Organic and inorganic decomposition products from the thermal desorption of atmospheric particles","Williams;Goldstein","ATMOSPHERIC MEASUREMENT TECHNIQUES",2016,9
"192","Origins and composition of fine atmospheric carbonaceous aerosol in the Sierra Nevada Mountains, California","Williams;Goldstein;Farmer;de Gouw","ATMOSPHERIC CHEMISTRY AND PHYSICS",2011,59
"193","Quantification of Hourly Speciated Organic Compounds in Atmospheric Aerosols, Measured by an In-Situ Thermal Desorption Aerosol Gas Chromatograph (TAG)","Williams;Goldstein","AEROSOL SCIENCE AND TECHNOLOGY",2009,35
"194","The 2005 Study of Organic Aerosols at Riverside (SOAR-1): instrumental intercomparisons and fine particle composition","Williams;Goldstein;Ziemann","ATMOSPHERIC CHEMISTRY AND PHYSICS",2011,95
"195","The First Combined Thermal Desorption Aerosol Gas Chromatograph-Aerosol Mass Spectrometer (TAG-AMS)","Williams;Goldstein","AEROSOL SCIENCE AND TECHNOLOGY",2014,36
"196","Thermal desorption comprehensive two-dimensional gas chromatography for in-situ measurements of organic aerosols","Williams;Goldstein","JOURNAL OF CHROMATOGRAPHY A",2008,59
"197","A portable, robust, stable, and tunable calibration source for gas-phase nitrous acid (HONO)","Young;VandenBoer","ATMOSPHERIC MEASUREMENT TECHNIQUES",2020,3
"198","Absolute ozone absorption cross section in the Huggins Chappuis minimum (350-470 nm) at 296 K","Young;Kahan","ATMOSPHERIC CHEMISTRY AND PHYSICS",2011,28
"199","An Atmospheric Constraint on the NO2 Dependence of Daytime Near-Surface Nitrous Acid (HONO)","Young;Goldstein;Stevens;VandenBoer","ENVIRONMENTAL SCIENCE & TECHNOLOGY",2015,18
"200","Chemistry of Volatile Organic Compounds in the Los Angeles Basin: Formation of Oxygenated Compounds and Determination of Emission Ratios","Young;Isaacman-VanWertz;de Gouw;Stevens","JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES",2018,21
"201","Chlorine activation within urban or power plant plumes: Vertically resolved ClNO2 and Cl-2 measurements from a tall tower in a polluted continental setting","Young;Williams;Williams;VandenBoer","JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES",2013,73
"202","Chlorine as a primary radical: evaluation of methods to understand its role in initiation of oxidative cycles","Young;Stevens","ATMOSPHERIC CHEMISTRY AND PHYSICS",2014,61
"203","Composition of Size-Resolved Aged Boreal Fire Aerosols: Brown Carbon, Biomass Burning Tracers, and Reduced Nitrogen","Young;VandenBoer","ACS EARTH AND SPACE CHEMISTRY",2018,9
"204","Contrasting Reactive Organic Carbon Observations in the Southeast United States (SOAS) and Southern California (CalNex)","Young;Goldstein;Isaacman-VanWertz;de Gouw;Stevens","ENVIRONMENTAL SCIENCE & TECHNOLOGY",2020,1
"205","Development of a gas phase source for perfluoroalkyl acids to examine atmospheric sampling methods","Young;VandenBoer","ANALYST",2016,5
"206","Formation and emission of hydrogen chloride in indoor air","Young;Kahan;VandenBoer","INDOOR AIR",2019,12
"207","Heterogeneous formation of nitryl chloride and its role as a nocturnal NOx reservoir species during CalNex-LA 2010","Young;de Gouw","JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES",2013,54
"208","Hydrogen Peroxide Emission and Fate Indoors during Non-bleach Cleaning: A Chamber and Modeling Study","Young;Carslaw;Kahan;VandenBoer","ENVIRONMENTAL SCIENCE & TECHNOLOGY",2020,1
"209","Illuminating the dark side of indoor oxidants","Young;Kahan","ENVIRONMENTAL SCIENCE-PROCESSES & IMPACTS",2019,22
"210","Measurements of hydroxyl and hydroperoxy radicals during CalNex-LA: Model comparisons and radical budgets","Young;de Gouw;Stevens","JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES",2016,46
"211","N2O5 uptake coefficients and nocturnal NO2 removal rates determined from ambient wintertime measurements","Young;VandenBoer","JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES",2013,59
"212","Nitrogen, Aerosol Composition, and Halogens on a Tall Tower (NACHTT): Overview of a wintertime air chemistry field study in the front range urban corridor of Colorado","Young;VandenBoer","JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES",2013,51
"213","Nocturnal loss and daytime source of nitrous acid through reactive uptake and displacement","Young;VandenBoer","NATURE GEOSCIENCE",2015,56
"214","Non-woven materials for cloth-based face masks inserts: relationship between material properties and sub-micron aerosol filtration","Young;VandenBoer","ENVIRONMENTAL SCIENCE-NANO",2021,1
"215","Ozone photochemistry in an oil and natural gas extraction region during winter: simulations of a snow-free season in the Uintah Basin, Utah","Young;Williams;Geiger;Williams","ATMOSPHERIC CHEMISTRY AND PHYSICS",2013,62
"216","Passive sampling capabilities for ultra-trace quantitation of atmospheric nitric acid (HNO3) in remote environments","Young;VandenBoer","ATMOSPHERIC ENVIRONMENT",2018,4
"217","Quantitation of amino sugar stereoisomer and muramic acid biomarkers by hydrophilic interaction liquid chromatography-mass spectrometry","Young;VandenBoer","JOURNAL OF CHROMATOGRAPHY A",2020,1
"218","Reactive nitrogen partitioning and its relationship to winter ozone events in Utah","Young;Williams;Williams;de Gouw","ATMOSPHERIC CHEMISTRY AND PHYSICS",2016,19
"219","Role of location, season, occupant activity, and chemistry in indoor ozone and nitrogen oxide mixing ratios","Young;Kahan;VandenBoer","ENVIRONMENTAL SCIENCE-PROCESSES & IMPACTS",2019,12
"220","Selective decontamination of the reactive air pollutant nitrous acid via node-linker cooperativity in a metal-organic framework","Young;VandenBoer","CHEMICAL SCIENCE",2019,16
"221","The glyoxal budget and its contribution to organic aerosol for Los Angeles, California, during CalNex 2010","Young;de Gouw;Stevens","JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES",2011,71
"222","The primary and recycling sources of OH during the NACHTT-2011 campaign: HONO as an important OH primary source in the wintertime","Young;Williams;Williams;VandenBoer","JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES",2014,37
"223","Time-Resolved Measurements of Nitric Oxide, Nitrogen Dioxide, and Nitrous Acid in an Occupied New York Home","Young;Kahan;VandenBoer","ENVIRONMENTAL SCIENCE & TECHNOLOGY",2018,40
"224","Understanding Sources of Atmospheric Hydrogen Chloride in Coastal Spring and Continental Winter","Young;VandenBoer","ACS EARTH AND SPACE CHEMISTRY",2021,0
"225","Understanding the role of the ground surface in HONO vertical structure: High resolution vertical profiles during NACHTT-11","Young;de Gouw;VandenBoer","JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES",2013,77
"226","Validation of a new cavity ring-down spectrometer for measuring tropospheric gaseous hydrogen chloride","Young;VandenBoer","ATMOSPHERIC MEASUREMENT TECHNIQUES",2021,0
"227","Vertically Resolved Measurements of Nighttime Radical Reservoirs; in Los Angeles and Their Contribution to the Urban Radical Budget","Young;de Gouw;VandenBoer","ENVIRONMENTAL SCIENCE & TECHNOLOGY",2012,98
"228","Heterogeneous ozonation kinetics of phenanthrene at the air-ice interface","Donaldson;Kahan","ENVIRONMENTAL RESEARCH LETTERS",2008,32
"229","Self-Association of Naphthalene at the Air-Ice Interface","Donaldson;Kahan","JOURNAL OF PHYSICAL CHEMISTRY A",2009,34
"230","An overview of current issues in the uptake of atmospheric trace gases by aerosols and clouds","Donaldson;Abbatt","ATMOSPHERIC CHEMISTRY AND PHYSICS",2010,261
"231","Anthracene Photolysis in Aqueous Solution and Ice: Photon Flux Dependence and Comparison of Kinetics in Bulk Ice and at the Air-Ice Interface","Donaldson;Kahan","ENVIRONMENTAL SCIENCE & TECHNOLOGY",2010,40
"232","Benzene Photolysis on Ice: Implications for the Fate of Organic Contaminants in the Winter","Donaldson;Kahan","ENVIRONMENTAL SCIENCE & TECHNOLOGY",2010,52
"233","Different photolysis kinetics at the surface of frozen freshwater vs. frozen salt solutions","Donaldson;Kahan","ATMOSPHERIC CHEMISTRY AND PHYSICS",2010,27
"234","Hydroxyl radical reactivity at the air-ice interface","Donaldson;Kahan","ATMOSPHERIC CHEMISTRY AND PHYSICS",2010,36
"235","Mechanism of Aqueous-Phase Ozonation of S(IV)","Donaldson;Kahan","JOURNAL OF PHYSICAL CHEMISTRY A",2010,6
"236","Spectroscopic studies of the heterogeneous reaction between O-3(g) and halides at the surface of frozen salt solutions","Donaldson;Kahan","JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES",2010,24
"237","Organics in environmental ices: sources, chemistry, and impacts","Donaldson;Abbatt;Kahan;McNeill","ATMOSPHERIC CHEMISTRY AND PHYSICS",2012,81
"238","Photochemical chlorine and bromine activation from artificial saline snow","Donaldson;Abbatt","ATMOSPHERIC CHEMISTRY AND PHYSICS",2013,32
"239","A Pinch of Salt Is All It Takes: Chemistry at the Frozen Water Surface","Donaldson;Kahan","ACCOUNTS OF CHEMICAL RESEARCH",2014,28
"240","Reply to Comment on 'Photolysis of Polycyclic Aromatic Hydrocarbons on Water and Ice Surfaces' and on 'Nonchromophoric Organic Matter Suppresses Polycyclic Aromatic Hydrocarbon Photolysis in Ice and at Ice Surfaces'","Donaldson;Kahan","JOURNAL OF PHYSICAL CHEMISTRY A",2015,1
"241","Gas-phase hydrolysis of triplet SO2: A possible direct route to atmospheric acid formation","Donaldson;Kroll","SCIENTIFIC REPORTS",2016,14
"242","Differences in photochemistry between seawater and freshwater for two natural organic matter samples","Donaldson;McNeill","ENVIRONMENTAL SCIENCE-PROCESSES & IMPACTS",2019,8
"243","Indoor Surface Chemistry: Developing a Molecular Picture of Reactions on Indoor Interfaces","Donaldson;Ault;Farmer;Morrison;Shiraiwa;Vance;Carslaw;O'Brien;McNeill;Grassian","CHEM",2020,10
"244","Modeling the Removal of Water-Soluble Trace Gases from Indoor Air via Air Conditioner Condensate","Donaldson;Farmer;Abbatt","ENVIRONMENTAL SCIENCE & TECHNOLOGY",2021,0
"245","Observations of NOx, $Aigma$PNs, $Aigma$ANs, and HNO3 at a Rural Site in the California Sierra Nevada Mountains: summertime diurnal cycles","Farmer;Goldstein","ATMOSPHERIC CHEMISTRY AND PHYSICS",2009,30
"246","A simplified description of the evolution of organic aerosol composition in the atmosphere","Farmer;Kroll","GEOPHYSICAL RESEARCH LETTERS",2010,293
"247","Response of an aerosol mass spectrometer to organonitrates and organosulfates and implications for atmospheric chemistry","Farmer;Ziemann","PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA",2010,293
"248","Origins and composition of fine atmospheric carbonaceous aerosol in the Sierra Nevada Mountains, California","Farmer;Goldstein;Williams;Williams;de Gouw","ATMOSPHERIC CHEMISTRY AND PHYSICS",2011,59
"249","Photochemical modeling of glyoxal at a rural site: observations and analysis from BEARPEX 2007","Farmer;Goldstein;de Gouw","ATMOSPHERIC CHEMISTRY AND PHYSICS",2011,28
"250","Observational Insights into Aerosol Formation from Isoprene","Farmer;Goldstein;de Gouw;Wennberg","ENVIRONMENTAL SCIENCE & TECHNOLOGY",2013,75
"251","A large and ubiquitous source of atmospheric formic acid","Farmer;Williams;Williams;de Gouw","ATMOSPHERIC CHEMISTRY AND PHYSICS",2015,113
"252","Investigating diesel engines as an atmospheric source of isocyanic acid in urban areas","Farmer;de Gouw","ATMOSPHERIC CHEMISTRY AND PHYSICS",2017,19
"253","Indoor air: sources, chemistry and health effects","Farmer;Vance","ENVIRONMENTAL SCIENCE-PROCESSES & IMPACTS",2019,2
"254","Overview of HOMEChem: House Observations of Microbial and Environmental Chemistry","Farmer;Goldstein;Novoselac;Abbatt;Ruiz;Vance;Stevens;O'Brien;Kahan;Grassian;Nazaroff","ENVIRONMENTAL SCIENCE-PROCESSES & IMPACTS",2019,62
"255","A Chemical Perspective on Climate: Emerging Research into Atmospheric Chemistry Impacts on Earth's Radiative Balance","Farmer;Prather","ACCOUNTS OF CHEMICAL RESEARCH",2020,0
"256","Cooking, Bleach Cleaning, and Air Conditioning Strongly Impact Levels of HONO in a House","Farmer;Novoselac;Abbatt;Vance;Stevens","ENVIRONMENTAL SCIENCE & TECHNOLOGY",2020,4
"257","Dark Chemistry during Bleach Cleaning Enhances Oxidation of Organics and Secondary Organic Aerosol Production Indoors","Farmer;Goldstein;Abbatt","ENVIRONMENTAL SCIENCE & TECHNOLOGY LETTERS",2020,7
"258","Glass surface evolution following gas adsorption and particle deposition from indoor cooking events as probed by microspectroscopic analysis","Farmer;Rim;Vance;O'Brien;Grassian","ENVIRONMENTAL SCIENCE-PROCESSES & IMPACTS",2020,4
"259","Indoor Particulate Matter during HOMEChem: Concentrations, Size Distributions, and Exposures","Farmer;Goldstein;Vance;Nazaroff","ENVIRONMENTAL SCIENCE & TECHNOLOGY",2020,27
"260","Indoor Surface Chemistry: Developing a Molecular Picture of Reactions on Indoor Interfaces","Farmer;Ault;Donaldson;Morrison;Shiraiwa;Vance;Carslaw;O'Brien;McNeill;Grassian","CHEM",2020,10
"261","Multiphase Chemistry Controls Inorganic Chlorinated and Nitrogenated Compounds in Indoor Air during Bleach Cleaning","Farmer;Goldstein;Abbatt;Ruiz;Shiraiwa;Vance;Kahan","ENVIRONMENTAL SCIENCE & TECHNOLOGY",2020,24
"262","Surface reservoirs dominate dynamic gas-surface partitioning of many indoor air constituents","Farmer;Goldstein;Novoselac;Abbatt;Vance;Nazaroff","SCIENCE ADVANCES",2020,36
"263","Surface Wetness as an Unexpected Control on Forest Exchange of Volatile Organic Acids","Farmer;Goldstein","GEOPHYSICAL RESEARCH LETTERS",2020,6
"264","The complex chemical effects of COVID-19 shutdowns on air quality","Farmer;Kroll","NATURE CHEMISTRY",2020,50
"265","Acidity across the interface from the ocean surface to sea spray aerosol","Farmer;Prather;Grassian","PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA",2021,5
"266","Fates and spatial variations of accumulation mode particles in a multi-zone indoor environment during the HOMEChem campaign","Farmer;Vance","ENVIRONMENTAL SCIENCE-PROCESSES & IMPACTS",2021,1
"267","Indoor black carbon and brown carbon concentrations from cooking and outdoor penetration: insights from the HOMEChem study","Farmer;Vance;Nazaroff","ENVIRONMENTAL SCIENCE-PROCESSES & IMPACTS",2021,0
"268","Indoor emissions of total and fluorescent supermicron particles during HOMEChem","Farmer;Goldstein;Novoselac;Vance;Nazaroff","INDOOR AIR",2021,5
"269","Investigating Carbonaceous Aerosol and Its Absorption Properties From Fires in the Western United States (WE-CAN) and Southern Africa (ORACLES and CLARIFY)","Farmer;Kroll","JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES",2021,0
"270","Modeling the Removal of Water-Soluble Trace Gases from Indoor Air via Air Conditioner Condensate","Farmer;Donaldson;Abbatt","ENVIRONMENTAL SCIENCE & TECHNOLOGY",2021,0
"271","Particle Size Distribution Dynamics Can Help Constrain the Phase State of Secondary Organic Aerosol","Farmer;Shiraiwa","ENVIRONMENTAL SCIENCE & TECHNOLOGY",2021,1
"272","Quantification of cooking organic aerosol in the indoor environment using aerodyne aerosol mass spectrometers","Farmer;Goldstein;Ruiz;Vance","AEROSOL SCIENCE AND TECHNOLOGY",2021,2
"273","Real-time organic aerosol chemical speciation in the indoor environment using extractive electrospray ionization mass spectrometry","Farmer;Goldstein;Ruiz;Vance","INDOOR AIR",2021,6
"274","Spatial and temporal scales of variability for indoor air constituents","Farmer;Novoselac;Young;Rim;Abbatt;Shiraiwa;Carslaw;Stevens;Kahan","COMMUNICATIONS CHEMISTRY",2021,0
"275","Volatile organic compound emissions during HOMEChem","Farmer;Goldstein;Novoselac;Vance;Nazaroff","INDOOR AIR",2021,1
"276","Energy and Cost Associated with Ventilating Office Buildings in a Tropical Climate","Rim;Nazaroff","PLOS ONE",2015,26
"277","Glass surface evolution following gas adsorption and particle deposition from indoor cooking events as probed by microspectroscopic analysis","Rim;Farmer;Vance;O'Brien;Grassian","ENVIRONMENTAL SCIENCE-PROCESSES & IMPACTS",2020,4
"278","Modelling consortium for chemistry of indoor environments (MOCCIE): integrating chemical processes from molecular to room scales","Rim;Young;Morrison;Shiraiwa;Waring;Carslaw","ENVIRONMENTAL SCIENCE-PROCESSES & IMPACTS",2019,16
"279","Occupational Exposure to Hazardous Airborne Pollutants: Effects of Air Mixing and Source Location","Rim;Novoselac","JOURNAL OF OCCUPATIONAL AND ENVIRONMENTAL HYGIENE",2010,29
"280","Ozone reaction with human surfaces: Influences of surface reaction probability and indoor air flow condition","Rim;Young","BUILDING AND ENVIRONMENT",2018,15
"281","Ozone reaction with interior building materials: Influence of diurnal ozone variation, temperature and humidity","Rim;Nazaroff","ATMOSPHERIC ENVIRONMENT",2016,25
"282","Sensation of draft at uncovered ankles for women exposed to displacement ventilation and underfloor air distribution systems","Rim;Nazaroff","BUILDING AND ENVIRONMENT",2016,31
"283","Spatial and temporal scales of variability for indoor air constituents","Rim;Novoselac;Young;Farmer;Abbatt;Shiraiwa;Carslaw;Stevens;Kahan","COMMUNICATIONS CHEMISTRY",2021,0
"284","Spatial distributions of ozonolysis products from human surfaces in ventilated rooms","Rim;Young;Morrison;Shiraiwa","INDOOR AIR",2020,4
"285","The impact of clothing on ozone and squalene ozonolysis products in indoor environments","Rim;Young;Morrison;Shiraiwa","COMMUNICATIONS CHEMISTRY",2019,22
"286","The influence of chemical interactions at the human surface on breathing zone levels of reactants and products","Rim;Novoselac;Morrison","INDOOR AIR",2009,44
"287","Transport of particulate and gaseous pollutants in the vicinity of a human body","Rim;Novoselac","BUILDING AND ENVIRONMENT",2009,103
"288","Understanding the Spatial Heterogeneity of Indoor OH and HO2 due to Photolysis of HONO Using Computational Fluid Dynamics Simulation","Rim;Young;Waring","ENVIRONMENTAL SCIENCE & TECHNOLOGY",2019,6
"289","Ventilation effectiveness as an indicator of occupant exposure to particles from indoor sources","Rim;Novoselac","BUILDING AND ENVIRONMENT",2010,39
"290","Schrodinger's microbes: Tools for distinguishing the living from the dead in microbial ecosystems","Hartmann;Adams","MICROBIOME",2017,162
"291","Benzalkonium chloride: A systematic review of its environmental entry through wastewater treatment, potential impact, and mitigation strategies","Hartmann;Williams;Williams","CRITICAL REVIEWS IN ENVIRONMENTAL SCIENCE AND TECHNOLOGY",2021,0
"292","The Future of Bacteriophage Therapy Will Promote Antimicrobial Susceptibility.","Hartmann;Williams;Williams","mSystems",2021,0
"293","Toward Accurate and Robust Environmental Surveillance Using Metagenomics","Hartmann;Young","FRONTIERS IN GENETICS",2021,1
"294","Contrasting organic aerosol particles from boreal and tropical forests during HUMPPA-COPEC-2010 and AMAZE-08 using coherent vibrational spectroscopy","Geiger;Williams;Williams","ATMOSPHERIC CHEMISTRY AND PHYSICS",2011,24
"295","The summertime Boreal forest field measurement intensive (HUMPPA-COPEC-2010): an overview of meteorological and chemical influences","Geiger;Williams;Williams","ATMOSPHERIC CHEMISTRY AND PHYSICS",2011,69
"296","Organic Constituents on the Surfaces of Aerosol Particles from Southern Finland, Amazonia, and California Studied by Vibrational Sum Frequency Generation","Geiger;Goldstein;Williams;Williams","JOURNAL OF PHYSICAL CHEMISTRY A",2012,28
"297","Bringing the ocean into the laboratory to probe the chemical complexity of sea spray aerosol","Geiger;Ault;Prather;Grassian","PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA",2013,278
"298","Biogenic and biomass burning organic aerosol in a boreal forest at Hyytiala, Finland, during HUMPPA-COPEC 2010","Geiger;Williams;Williams","ATMOSPHERIC CHEMISTRY AND PHYSICS",2013,39
"299","Counting the Number of Magnesium Ions Bound to the Surface-Immobilized Thymine Oligonucleotides That Comprise Spherical Nucleic Acids","Geiger;Young","JOURNAL OF THE AMERICAN CHEMICAL SOCIETY",2013,14
"300","Raman microspectroscopy and vibrational sum frequency generation spectroscopy as probes of the bulk and surface compositions of size-resolved sea spray aerosol particles","Geiger;Ault;Prather;Grassian","PHYSICAL CHEMISTRY CHEMICAL PHYSICS",2013,67
"301","Size-Dependent Changes in Sea Spray Aerosol Composition and Properties with Different Seawater Conditions","Geiger;Ault;Prather;Grassian","ENVIRONMENTAL SCIENCE & TECHNOLOGY",2013,121
"302","Size-Resolved Sea Spray Aerosol Particles Studied by Vibrational Sum Frequency Generation","Geiger;Ault;Prather;Grassian","JOURNAL OF PHYSICAL CHEMISTRY A",2013,36
"303","Climate-relevant physical properties of molecular constituents for isoprene-derived secondary organic aerosol material","Geiger;McNeill","ATMOSPHERIC CHEMISTRY AND PHYSICS",2014,12
"304","Observations of sesquiterpenes and their oxidation products in central Amazonia during the wet and dry seasons","Geiger;Goldstein;Isaacman-VanWertz","ATMOSPHERIC CHEMISTRY AND PHYSICS",2018,23
